id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7683600,Studio Guarda La Fotografia - Ghent,40352209,Filip,,Binnenstad,51.0516,3.7258,Entire home/apt,109,1,629,2025-06-22,5.33,2,321,74,
7906845,"Complete renovated house, spacious!",7679698,Wim,,Brugse Poort - Rooigem,51.06161,3.69804,Entire home/apt,141,5,87,2025-06-22,0.73,2,161,5,
7906941,"Volledig huis,alle comfort,privacy!",7679698,Wim,,Brugse Poort - Rooigem,51.06162,3.69804,Entire home/apt,140,5,161,2025-05-16,1.35,2,164,11,
7918142,"Peaceful, surrounded by nature & with parking spot",12733830,Jelle,,Brugse Poort - Rooigem,51.05387,3.69125,Entire home/apt,,28,87,2024-01-01,1.21,1,66,0,
8077970,Loft Lien in Gent Centrum,42670243,Herlinde,,Watersportbaan - Ekkergem,51.05264,3.70734,Entire home/apt,,2,81,2025-04-20,0.69,1,0,9,
8299379,Cosy recycled style studio room with easy access,10863659,Bert,,Muide - Meulestede - Afrikalaan,51.05848,3.7389,Entire home/apt,56,3,4,2020-01-02,0.04,1,37,0,
8347942,Spacious loft in the historical centre,39837750,Laurens,,Elisabethbegijnhof - Papegaai,51.05237,3.72016,Entire home/apt,93,3,490,2025-06-07,4.45,1,25,41,
8366610,Sunny & Stylish Loft in the Heart of the Old Town.,20327558,Dirk,,Binnenstad,51.053260803222656,3.7232909202575684,Entire home/apt,122,4,222,2025-06-07,1.87,1,267,29,
8482980,Spacious house with big garden close to the city,24314613,Klaas,,Sint Amandsberg,51.0644,3.75372,Entire home/apt,166,2,3,2025-05-04,0.05,1,205,2,
8744894,Cozy Apartment with Patio by the Water,143141833,Nicole,,Binnenstad,51.05665,3.73258,Entire home/apt,117,2,138,2025-06-09,1.43,1,55,33,
8963647,2 Bedroom apartment centre Ghent,14549050,Wouter,,Elisabethbegijnhof - Papegaai,51.0547,3.71088,Entire home/apt,178,2,81,2024-12-08,0.72,1,174,1,
9024440,Authentic charm in medieval quarter,13037514,Marie-Catherine,,Binnenstad,51.05665,3.72254,Private room,72,1,358,2025-06-23,3.04,1,17,68,
9048939,Breathtaking Views in ❤ of Ghent with Hot Tub,17321727,Bert,,Elisabethbegijnhof - Papegaai,51.05314,3.72057,Entire home/apt,125,3,240,2025-06-09,2.05,1,176,47,
9087777,Fin-de-Siécle room in a Belle-Epoque house,47388258,F,,Dampoort,51.049,3.7453,Private room,43,1,915,2025-06-18,7.79,3,80,68,
9213284,Furnished 2 person apartment for rent in Ghent,25065540,Ram,,Zwijnaarde,51.01242,3.70261,Entire home/apt,53,60,2,2023-11-21,0.03,1,101,0,
9895777,Studio lumineux et confortable,38437518,Catherine,,Stationsbuurt Zuid,51.03602,3.70269,Entire home/apt,78,4,99,2025-06-03,0.87,1,342,15,
10083084,Curiosity room in a Belle-Epoque house,47388258,F,,Dampoort,51.05013,3.74515,Private room,37,1,989,2025-06-21,8.54,3,66,89,
10093174,comfortable charming studio near StPieters station,51792074,Joris,,Stationsbuurt Noord,51.04151,3.70874,Entire home/apt,,14,18,2019-11-13,0.16,1,365,0,
